processor_type_enc,log_ram,ram,processor_speed,total_storage,ppi,ssd_storage,Weight,total_pixels,ram_to_ssd_ratio,TypeName_Notebook,display_type_ord,Price
62,0.1358546346905845,-0.0880857914628133,0.800114382804764,-0.1828707735928049,0.2351620108154786,2.103432440488952,-1.5793073868411294,-0.07590310418276833,0.0156,0,2,101178.72
36,0.1358546346905845,-0.0880857914628133,-0.6073894069296288,0.8802105067502711,-0.9476671956888596,-1.0714514890391216,1.8375094287794456,-0.5310540913113753,0.0,1,1,33513.12
22,-2.2889927439558324,-1.2611997784800644,-2.4170371365881334,-1.1795094739144387,-0.27901130897100773,-1.0714514890391216,-1.3289371891447943,-0.8118684579155703,0.0,1,1,16221.096
46,0.9474935343712165,0.6939901998820207,0.3979704428806515,0.8802105067502711,-1.0767869531240308,-1.0714514890391216,0.2911052665373751,-0.8118684579155703,0.0,1,1,34578.72
62,0.1358546346905845,-0.0880857914628133,0.800114382804764,-0.7144114137643429,0.2351620108154786,0.5159904757249154,-1.0785669914484588,-0.07590310418276833,0.0312,0,2,99047.52
66,1.5396034455647016,1.4760661912268547,1.0011863527668192,1.4117511469218091,-0.45885668539856783,0.5159904757249154,3.162998710701221,-0.07590310418276833,0.0625,0,2,138474.72
59,1.5396034455647016,1.4760661912268547,0.800114382804764,1.14598082683604,-0.45885668539856783,-0.277730506657103,3.4870072018376543,-0.07590310418276833,0.125,0,2,125154.72
47,0.1358546346905845,-0.0880857914628133,0.3979704428806515,-0.7144114137643429,3.1172994535648395,0.5159904757249154,0.011279751465000517,4.392852042170826,0.0312,1,4,93186.72
18,-1.161502921102972,-0.8701617828076473,-1.612749256739909,-1.2127307639251597,-1.0767869531240308,-0.9722363662413692,0.21746697309727678,-0.8118684579155703,0.25,1,1,13053.290976
47,0.1358546346905845,-0.0880857914628133,0.3979704428806515,-0.7144114137643429,-0.13836300176483904,0.5159904757249154,0.6592967337378681,-0.07590310418276833,0.0312,0,2,44169.12
62,0.1358546346905845,-0.0880857914628133,0.800114382804764,-0.7144114137643429,0.4242302270598365,0.5159904757249154,-0.9607457219443013,-0.07590310418276833,0.0312,1,2,53812.8
9,-1.161502921102972,-0.8701617828076473,-0.20524546700551638,-0.9801817338501119,-0.9476671956888596,-0.277730506657103,0.8065733206180655,-0.5310540913113753,0.0312,1,1,26053.92
70,0.1358546346905845,-0.0880857914628133,-1.0095333468537409,3.272143387522192,-0.13836300176483904,-0.277730506657103,0.21746697309727678,-0.07590310418276833,0.0625,1,2,52480.8
57,0.1358546346905845,-0.0880857914628133,0.5990424128427077,-0.7144114137643429,1.696982121777955,0.5159904757249154,-0.8429244524401434,1.0826630448718675,0.0312,0,3,95850.72
46,0.1358546346905845,-0.0880857914628133,0.3979704428806515,-0.7144114137643429,-0.13836300176483904,0.5159904757249154,-0.2832734222953938,-0.07590310418276833,0.0312,1,2,30636.0
54,1.5396034455647016,1.4760661912268547,-0.20524546700551638,-0.7144114137643429,1.6900649919153563,-1.0714514890391216,-0.01817556591103895,2.158474468994029,0.0,0,3,114017.6016
29,0.1358546346905845,-0.0880857914628133,-2.2159651666260776,-0.1828707735928049,2.024392935274282,2.103432440488952,-1.5645797281531098,1.0826630448718675,0.0156,0,3,74538.72
62,0.1358546346905845,-0.0880857914628133,0.800114382804764,-0.7144114137643429,0.2351620108154786,0.5159904757249154,-0.8429244524401434,-0.07590310418276833,0.0312,1,2,68837.76
41,-1.161502921102972,-0.8701617828076473,-0.004173497043461033,-0.9801817338501119,-0.5026651745283579,-0.277730506657103,0.5120201468576708,-0.8118684579155703,0.0312,1,1,85194.72
53,-1.161502921102972,-0.8701617828076473,-1.4116772867778529,-0.7144114137643429,0.4242302270598365,0.5159904757249154,-0.9607457219443013,-0.07590310418276833,0.0156,0,2,43601.688
53,0.1358546346905845,-0.0880857914628133,-1.4116772867778529,-0.7144114137643429,0.4242302270598365,0.5159904757249154,-1.2552988957046955,-0.07590310418276833,0.0312,0,2,77250.672
46,0.1358546346905845,-0.0880857914628133,0.3979704428806515,-0.7144114137643429,-0.13836300176483904,0.5159904757249154,-0.07708620066311789,-0.07590310418276833,0.0312,1,2,67026.24
